ID,macid,Date_time,Acceleration_x,Acceleration_y,Acceleration_z,Acceleration_s,Frequency,Amplitude,sound,Temp_t1,Temp_t2,Temp_t3,emf,bv,an,device_id,node_firm,gateway_firm,radio_power,res,sen_type
1002,,10/18/2017 0:04:01,1.52,0.91,0.03,1.77,8.82,15.97,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:04:02,1.56,0.81,0.04,1.75,8.85,15.68,0,23,22.3,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:04:02,1.52,0.9,0.04,1.76,8.92,15.51,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:04:03,1.54,0.84,0.02,1.75,8.87,15.61,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:04:04,1.5,0.95,0.04,1.77,8.84,15.9,0,24.8,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:04:11,1.5,0.9,0.03,1.74,8.95,15.25,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:04:12,1.54,0.8,0.04,1.73,8.86,15.46,0,23,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:04:12,1.53,0.91,0.04,1.78,8.86,15.91,0,24,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:04:13,1.55,0.85,0.02,1.76,8.82,15.87,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1024,,10/18/2017 0:04:22,1.53,0.79,0.04,1.72,8.96,15.03,0,22.9,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:04:22,1.54,0.92,0.04,1.79,8.81,16.18,0,24,23.2,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:04:23,1.54,0.84,0.02,1.75,8.81,15.83,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:04:24,1.49,0.95,0.04,1.76,8.89,15.63,0,24.8,23.8,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:04:31,1.51,0.9,0.03,1.75,8.86,15.64,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:04:32,1.54,0.79,0.04,1.73,8.86,15.46,0,23,22.2,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:04:32,1.52,0.91,0.04,1.77,8.97,15.43,0,24,23.1,24,ffbd,161,59,,,,,ffff,
